Nome;Preco;Duracao;Observacao
SERVIÇO HIGIENIZAÇÃO EVAPORADOR E CONDENSADOR VOLV;;;
SERVIÇO TIRAR SALVADOR;;;
SERVIÇO TROCAR BICO INJETOR;;;
SERVIÇO INSTALAR LEXAN;;;
SERVIÇO FUNILARIA;;;
SERVIÇO LAVAR VEICULO;;;
SERVIÇO INSTALAR RADIO FLORESTAL;;;
'MOTOR CAIXA PAINEL RECOM AXOR 24V;;;
'MOTOR CAIXA PANIEL RECOM CATERPILLAR 320;;;
PAINEL RECOM SPAL SPHEROS;;;
COMPRESSOR RECOM FIAT UNO SCROOL;;;
SERVIÇO TROCAR AMORTECEDOR;;;
AMORTECEDOR DIANTEIRO CORSA SEDAN;;;
SERVIÇO TROCAR FAROIS DE LEDS;;;
SERVIÇO TROCAR RESERVATORIO DO COROTE;;;
FILTRO DE COMBUSTIVEL CORSA/PRISMA/CRUZE;;;
SERVIÇO TROCAR BATERIA;;;
CILINDRO MESTRE STRADA/PAILO/SIENA;;;
SERVIÇO CONFECCIONAR CHAPA DE FERRO;;;
SERVIÇO TROCAR MOTOR PARTIDA;;;
SERVIÇO TROCAR PARAFUSOS;;;
SERVIÇO TROCAR CORREIA E POLIA;;;
SERVIÇO TIRAR RASTREADOR;;;
SERVIÇO TIRAR CREARE;;;
SERVIÇO SOLDA DE FERRO;;;
SERVIÇO INSTALAR RASTREADOR;;;
SERVIÇO INSTALAR INSULFILM;;;
SERVIÇO HIGIENIZAÇÃO ESTOFADO;;;
SERVIÇO RECUPERAR PAINEL;;;
QUEBRA-SOL FIAT PALIO/FIRE/SIENA;;;
COXIM MOTOR SUPERIOR LD STRADA/UNO FIRE;;;
REVISÃO MOTOR PARTIDA;;;
COMPRESSOR RECOM GM/MERIVA;;;
SERVIÇO ILUMINAÇÃO;;;
'MOTOR CAIXA PAINEL RECOM ACTROS;;;
SERVIÇO TROCAR CINTA;;;
SERVIÇO TROCAR RESISTENCIA;;;
SERVIÇO RASTHER;;;
SERVIÇO UNIDADE SOLAR;;;
SERVIÇO TROCAR INVERSOR;;;
SERVIÇO DE PROGRAMAÇÃO;;;
SERVIÇO TORNEAR POLIA;;;
SERVIÇO REVISAR MOTOR PARTIDA;;;
SERVIÇO REVISAR ALTERNADOR;;;
SERVIÇO DE REVISÃO;;;
SERVIÇO VERIFICAR CORREIAS;;;
SERVIÇO VEDAÇÃO CAIXA EVAPORADORA;;;
SERVIÇO VEDAÇÃO ASSOALHO MAQUINA;;;
SERVIÇO TROCAR EVAPORADORA;;;
MOTOR DE PARTIDA SCANIA 5 RECOM.;;;
SERVIÇO INSTALAR SOM;;;
SERVIÇO ALTERNADOR D8;;;
REVISÃO ELETRICA;;;
SERVIÇO RECICLAR GAS;;;
MODULO MOTOR MERCEDES RECOM;;;
LICENCIAMENTO/DOCUMENTO;;;
SERVIÇO DIAGNOSTICO RASTER;;;
SERVIÇO MANUTENÇÃO PORTA MALA;;;
