NomeGrupo;CodigoGrupo;Descricao;Referencia;Imposto
PARA-BRISA/VIGIA;;;;
OUTRAS GUARNIÇÕES, FERRAGENS E ARTIGOS SEMELHANTES, PARA VEÍCULOS AUTOMÓVEIS;;;;
LANTERNAS;;;;
BORRACHA/GUARNIÇÃO;;;;
SERVICOS;;;;
RETROVISORES;;;;
PELÍCULA INSULFILM;;;;
MAQUINA DE VIDRO;;;;
