placa;km;km_troca_oleo;renavam;chassi;ano_fabricacao;ano_modelo;IdCliente;modelo;montadora
DNW3A18;;;;9BWCB05W06P088896;2006;;45492;GOL;volkswagen
EYU6286;;;;9BGCA80X0CB181226;2011;;45491;MONTANA;chevrolet
BNA9949;;;;9BD146000P5037135;1993;;45490;UNO;fiat
BNA9949;;;;;;;45490;UNO;fiat
FYB6J95;;;;8AFSZZFHCFJ304561;2014;;45489;FOCUS;ford
FUU4717;;;;9C6SG3310H0007093;2016;;45488;NMAX;yamaha
DWD2635;;;;9BFZF10A688224655;2008;;45487;FIESTA;ford
EGD2J00;;;;93HGD18408Z207641;2008;;45486;FIT;honda
OGD7B77;;;;9BD197134E3117574;2013;;45478;SIENA;fiat
EPH7753;;;;9BFZF55A6B8066325;2010;;45451;FIESTA;ford
JKD6831;;;;9BD27803MC7540270;2012;;45450;STRADA;fiat
DLL9J75;;;;9BWCA05X33T200833;2003;;45449;GOL;volkswagen
FWE5D95;;;;8AP359A73LU079373;2019;;45448;CRONOS;fiat
DEU6B13;;;;93YRHAMH7KJ891680;2019;;45447;CAPTUR;renault
DRQ8F45;;;;9BD15822764758067;2005;;45446;UNO;fiat
EKT5612;;;;9BGTR48C0AB168641;2009;;45445;ASTRA;chevrolet
IVO6B82;;;;9BFZF55P2E8104142;2014;;45444;FIESTA;ford
EIL2C29;;;;9362VN6AXBB027671;2010;;45443;HOGGAR;peugeot
DGC3I15;;;;9BWEB05XX3P020683;2002;;45441;SAVEIRO;volkswagen
DFJ5906;;;;9BWAA05U1AT156597;2009;;45440;GOL;volkswagen
EAF6245;;;;8AGSA19908R183403;2008;;45439;CLASSIC;chevrolet
CTB2103;;;;9BGSC68N0YC170197;2000;;45438;CORSA;chevrolet
BKM5629;;;;9BWZZZ377ST030471;1995;;45437;GOL;volkswagen
FVM4130;;;;9BRK29BT5F0044270;2014;;45436;ETIOS;toyota
EVZ0889;;;;9BFZK53A5BB310189;2011;;45435;KA;ford
KFB0011;;;;9BGTB08BXWB302920;1998;;45434;ASTRA;chevrolet
EFI9980;;;;9BGKS48U0KG397019;2019;;45433;ONIX;chevrolet
EQN0H75;;;;8AFTZZFHCBJ380537;2010;;45432;FOCUS;ford
DQH3E74;;;;9BWKA05Z56P001728;2005;;45431;FOX;volkswagen
AAA2222;;;;;;;45430;VOYAGE;volkswagen
CUA7026;;;;9BM384067AB724810;2010;;45428;MPOLO SENIOR ON;volkswagen
ABC1234;;;;9BWZZZ32ZGP246344;1986;;45427;SANTANA;volkswagen
CAZ6404;;;;;;;45426;CORSA;chevrolet
GJQ5C14;;;;*****71365;2022;;45425;STRADA;fiat
RUA5G38;;;;*****53187;2022;;45425;S10;gmc
RUA5G38;;;;*****53187;2022;;45425;S10;gmc
RUA5G38;;;;*****53187;2022;;45425;S10;gmc
RUA5G38;;;;*****53187;2022;;45425;S10;gmc
TLV2C12;;;;;;;45425;SAVEIRO;volkswagen
EVT6801;;;;9BWAA05UXCT188306;2012;;45424;GOL;volkswagen
DKP3511;;;;9BFZF10B148167039;2003;;45423;FIESTA;ford
EPX0478;;;;9BGSU19F0BB115151;2010;;45422;CLASSIC;chevrolet
QKE3F12;;;;WV1DB42H7GA028619;2015;;45421;AMAROK;volkswagen
AAA1111;;;;9BWZZZ32ZLP001191;1990;;45420;SANTANA;volkswagen
GAL5C16;;;;*****74343;2022;;45419;STRADA;fiat
SIO3G22;;;;*****69670;2024;;45393;ONIX;chevrolet
SIO3G22;;;;*****69670;2024;;45393;ONIX;chevrolet
GCS7F44;;;;*****92222;2023;;45384;1500;
SUP9G61;;;;*****18503;2024;;45384;3500;
TKD8C23;;;;*****90050;2025;;45384;RAMPAGE;ram
FNF0941;;;;9BD15802AD6897184;2013;;45346;UNO;fiat
QXV2B45;;;;9BD195A4ZL0884510;2020;;45318;UNO;fiat
EVI2H72;;;;*****67675;2024;;45293;MASTER;envemo
SJI6G79;;;;*****58983;2024;;45293;CRONOS;fiat
EIV0F03;;;;9BFZE55P5C8690139;2011;;45284;ECOSPORT;ford
GAA3907;;;;9BMTG4DW5HM001663;2017;;45276;GLA200FF;mercedes-benz
RVS9B48;;;;*****84892;2023;;45275;KWID;renault
DIX1832;;;;9BWDB05X65T049717;2004;;45274;PARATI;volkswagen
GCC7J53;;;;;;;45273;FIT;honda
DDZ9773;;;;9BWAB41J824032533;2001;;45272;GOLF;volkswagen
DTT6571;;;;9BFZF10A678042646;2006;;45271;FIESTA;ford
CTU4E55;;;;9BFFF25L0XD009474;1999;;45270;F-250;ford
FWV5559;;;;8BCNDRFJYEG543678;2014;;45269;C4L;citroën
CYR3C85;;;;9BWCA05X22T074009;2001;;45268;GOL;volkswagen
AQV2J82;;;;93HFA66808Z253596;2008;;45267;CIVIC;honda
JIA0H41;;;;3N1BC1ASXBL366014;2010;;45266;TIIDA;nissan
NRU3J33;;;;9BGXH68X0CC196149;2012;;45265;CORSA;chevrolet
