placa;km;km_troca_oleo;renavam;chassi;ano_fabricacao;ano_modelo;IdCliente;modelo;montadora
FRS7D89;;;;9BD17102LE5912874;2014;;44989;PALIO;fiat
KQP7I09;;;;9BD17102LF5957050;2014;;44989;PALIO;fiat
FWC1947;;;;9BD17102ZG7553442;2015;;44989;PALIO;fiat
GDU5C13;;;;;;;44987;FOX MSI;volkswagen
EJJ0I07;;;;9BRBB48E2A5081977;2009;;44986;COROLLA;toyota
EVJ9F46;;;;9BFZF54P3B8191238;2011;;44984;FIESTA;ford
LLI2519;;;;9BM384078BB753368;2010;;44983;INDUSCAR;
KPS9E83;;;;;;;44983;ONIBUS B7R;
FAI9117;;;;93HFB9640EZ167714;2014;;44981;CIVIC;honda
EVT4D69;;;;9BD15822AC6589479;2011;;44980;UNO;fiat
EGJ3901;;;;936ZCXMNCB2073211;2011;;44978;BOXER;peugeot
ENR9C71;;;;9BD17164LA5607639;2010;;44977;PALIO;fiat
NLV4C44;;;;9BGRM69809G123647;2008;;44974;PRISMA;chevrolet
BBA3344;;;;9BVAN60A25E711981;2005;;44972;FH12;volvo
AJA7917;;;;9BGSD1940YC134340;1999;;44968;CORSA;chevrolet
CXQ3J80;;;;8AP178096W4105673;1998;;44967;PALIO;fiat
QNH6J63;;;;9BD2651JHJ9094461;2017;;44965;FIORINO;fiat
EEG7577;;;;YV1DZ995692024760;2009;;44963;XC60;volvo
EGD3398;;;;9BWAA05Z594118761;2009;;44960;FOX;volkswagen
CNX1I36;;;;BJ835513;1979;;44958;FUSCA 1300;volkswagen
FFF1I52;;;;93HFB2630EZ154675;2013;;44958;NEW CIVIC;honda
EYK2I64;;;;9BD372111C4007693;2011;;44954;SIENA;fiat
EEU1B89;;;;8AWPB05Z39A304441;2008;;44952;SPACEFOX;volkswagen
EEU1B89;;;;8AWPB05Z39A304441;2008;;44952;SPACEFOX;volkswagen
CYF9E50;;;;9BG124CW0XC928915;1999;;44950;S10;gmc
BYQ4J29;;;;9BGJD7520LB151679;2019;;44949;SPIN;chevrolet
EAP7B56;;;;9BGSA19908B303864;2008;;44944;CLASSIC;chevrolet
AAC1478;;;;9BGKW08YLLC331827;1990;;44941;KADETT;chevrolet
ELS5078;;;;9BD17164LA5529123;2009;;44938;PALIO;fiat
AAA4444;;;;9BGVR15HLLB112739;1990;;44937;CARAVAN;chevrolet
EDT9C06;;;;3FAHP08Z68R199378;2008;;44936;FUSION;ford
AAA1111;;;;9BWZZZ32ZLP001191;2010;;44935;SPIN;chevrolet
PXY9J09;;;;9BFZH55L7H8374575;2016;;44934;KA;ford
LPC2459;;;;9BD11812181007531;2007;;44929;PUNTO;fiat
NSY3H30;;;;8AJFZ29G5B6118765;2010;;44924;HILUX;toyota
KVG9562;;;;9BM384067AB719930;2010;;44922;ONIBUS;
DEE9C14;;;;9BGSC19Z01C277389;2001;;44920;CORSA CLASSIC;chevrolet
BBB2222;;;;LA7NDM68177;2020;;44919;COMPASS;jeep
GJI8F20;;;;9BWAG412XHT516874;2016;;44914;UP;volkswagen
JKA1B34;;;;8AFUZZFHCBJ413773;2011;;44884;FOCUS;ford
DWF2224;;;;9BFVCAC998BB03536;2007;;44869;CARGO;changan
FAH3658;;;;9BWKB05U9CP190512;2012;;44869;SAVEIRO;volkswagen
FVW1F46;;;;93ZK1RMH0F8928370;2014;;44869;MASCA;
FVW1F46;;;;93ZK1RMH0F8928370;2014;;44869;MASCA;
GJI8F20;;;;9BWAG412XHT516874;2016;;44869;UP;volkswagen
FVW8382;;;;9BGCA8030JB153975;2017;;44869;MONTANA;chevrolet
ENE5H76;;;;9BD195A4ZL0881650;2019;;44869;UNO;fiat
EMA0J17;;;;8AJHA3CD3L2098741;2020;;44869;HILUX;toyota
GJK7C55;;;;9BD358A1NMYL18390;2021;;44869;ARGO;fiat
FLC4141;;;;;;;44869;HILUX;toyota
EGH6D70;;;;9BGRZ0810AG215551;2009;;44862;CELTA;chevrolet
EGE3069;;;;93HGE88709Z103584;2009;;44862;FIT;honda
FHN3694;;;;9BGKS48B0DG208261;2012;;44862;ONIX;chevrolet
FFU3802;;;;9BFZF54P3D8410928;2012;;44862;FIESTA;ford
OQL7F54;;;;9BD195152E0500105;2013;;44862;UNO;fiat
FJJ5J56;;;;9BHBG51DADP078226;2013;;44862;HB20;hyundai
FQY3B96;;;;9BGKS48L0FG159215;2014;;44862;ONIX;chevrolet
FMU5409;;;;9BD197163F3240901;2014;;44862;SIENA;fiat
FWZ2067;;;;9BGJB75E0FB199811;2015;;44862;SPIN;chevrolet
FVX4B98;;;;93HFB9680GZ204009;2015;;44862;CIVIC;honda
FWU9J03;;;;93HGM6690FZ128206;2015;;44862;CITY;honda
FJF6699;;;;9BWAB45Z7F4060927;2015;;44862;FOX;volkswagen
FDN9A06;;;;9BGPB68N0GB160386;2016;;44862;CRUZE;chevrolet
GAB8469;;;;9BHBG51CAHP673310;2016;;44862;HB20;hyundai
FYZ6285;;;;988675134HKH04294;2016;;44862;COMPASS;jeep
FPM3432;;;;93HRV2850JZ221688;2017;;44862;HR-V;honda
GJE0I18;;;;9BHGC813BJP041995;2017;;44862;CRETA;hyundai
FVG3D09;;;;9BHGC813BJP033963;2017;;44862;CRETA;hyundai
FQX0605;;;;98861110XJK152334;2017;;44862;RENEGADE;jeep
QPN2E15;;;;9BGKL48U0KB150604;2018;;44862;ONIX;chevrolet
FJT2001;;;;93YRBB006KJ657315;2018;;44862;KWID;renault
QQP3C37;;;;9BGKL48U0KB225168;2019;;44862;ONIX;chevrolet
ELI9B33;;;;9BGKS48V0KG422787;2019;;44862;ONIX;chevrolet
BWO4846;;;;93HRV2870KZ122778;2019;;44862;HR-V;honda
FZA5A68;;;;9BRKC9F38L8083343;2019;;44862;YARIS;toyota
FPA4I02;;;;95PACL51DMB005151;2020;;44862;TIGGO7;caoa chery
EXO4J45;;;;9BGEB48H0LG195176;2020;;44862;ONIX;chevrolet
QXK3D64;;;;9BGKL48U0LB186837;2020;;44862;ONIX;chevrolet
FHF3J77;;;;9BHCP51AALP077082;2020;;44862;HB20;hyundai
QXS0A17;;;;93YRBB001MJ391673;2020;;44862;KWID;renault
FXZ9E97;;;;9BRKC9F38M8113958;2020;;44862;YARIS;toyota
DCU8B74;;;;*****86722;2023;;44862;CRETA1TA;hyundai
RVY5B27;;;;*****17700;2023;;44862;RENEGADE;jeep
ERR8H66;;;;*****46008;2023;;44862;KWID;renault
RUC6H91;;;;*****48222;2023;;44862;CCROSS;suzuki
FPJ4C75;;;;*****91359;2023;;44862;CCROSS;suzuki
TKS8E79;;;;*****13165;2024;;44862;CITY;honda
SIS3B33;;;;*****08957;2024;;44862;HB20;hyundai
STM7D28;;;;*****03085;2024;;44862;DUSTER;renault
STM7D28;;;;*****03085;2024;;44862;DUSTER;renault
SSY9D74;;;;*****30042;2025;;44862;SONG;byd
TKM7G17;;;;*****94014;2025;;44862;HB20;hyundai
SVV3E86;;;;*****11327;2025;;44862;POLO;volkswagen
RCM1L98;;;;;;;44862;TIGGO SUV;caoa chery
EGD5A83;;;;9BRB33BE1M2035515;2020;;44644;COROLLA;toyota
FNS8633;;;;9BWAA05W4EP058048;2013;;44617;GOL;volkswagen
PZN8B03;;;;98861115XHK119713;2017;;44522;RENEGADE;jeep
BBB1111;;;;9BWZZZ32ZMP003674;2005;;44441;CIVIC;honda
DSM5A67;;;;9BFZF26P768466255;2006;;44441;FIESTA;ford
DKY0C57;;;;9BFZE16P598997889;2008;;44441;ECOSPORT;ford
EOB1873;;;;93ZA1RGH0D8921358;2012;;44398;TECTOR;iveco
EOB1866;;;;9B9214T64CBDT4457;2012;;44398;R31;
FFA8993;;;;HBZN170BTEAE05690;2014;;44398;NEWHOLLAND;NEWHOLLAND
DQC8976;;;;9BGSK19X05B252138;2005;;44395;CLASSIC;chevrolet
DQC8976;;;;9BGSK19X05B252138;2005;;44395;CLASSIC;chevrolet
ERP4228;;;;3FAHP0JA4AR406781;2010;;44395;FUSION;ford
ISC4H75;;;;9BGCS80X0CB105782;2011;;44395;MONTANA;chevrolet
FKK1D32;;;;9BGCA80X0DB166867;2012;;44395;MONTANA;chevrolet
CYL5197;;;;9BWDA45U1ET035837;2013;;44395;VOYAGE;volkswagen
FTW9C32;;;;9BWAA45U5EP193643;2014;;44395;GOL;volkswagen
PZD2G14;;;;9BGKL48U0HB198881;2017;;44395;ONIX;chevrolet
GBE9D77;;;;9BWDB45U4HT102433;2017;;44395;VOYAGE;volkswagen
RMO2C19;;;;9BD195A4ZM0912008;2021;;44395;UNO;fiat
SIX0J76;;;;*****07584;2024;;44395;ARGO;fiat
EVA8J34;;;;*****17719;2024;;44395;KWID;renault
FBQ4G47;;;;;;;44395;KWID;renault
RFN5F15;;;;93YRBB001MJ532998;2020;;44364;KWID;renault
RUX4J13;;;;*****27506;2023;;44364;MOBI;fiat
GJI8F20;;;;9BWAG412XHT516874;2016;;44334;UP;volkswagen
SEO2H41;;;;*****51445;2023;;44226;MONTANA;chevrolet
SEZ0B58;;;;*****93741;2024;;44226;MONTANA;chevrolet
SEZ0B58;;;;*****93741;2024;;44226;MONTANA;chevrolet
SIX0C75;;;;*****35741;2024;;44226;HILUX;toyota
SIT2B40;;;;*****35078;2024;;44226;HILUX;toyota
SIX0C68;;;;*****35696;2024;;44226;HILUX;toyota
SIT2B40;;;;*****35078;2024;;44226;HILUX;toyota
SIX0C70;;;;*****35732;2024;;44226;HILUX;toyota
TBF8I38;;;;*****37496;2025;;44226;TRACKER;chevrolet
TDH4C73;;;;*****59568;2025;;44226;STRADA;fiat
RRR0250;;;;*****06074;;;44226;MONTANA;chevrolet
FND6G34;;;;9BWAA45UXEP125659;2013;;44175;GOL;volkswagen
FBV5A97;;;;93YRBB005KJ402980;2018;;44175;KWID;renault
AFP1F55;;;;9BWEB05X63P018087;2002;;45237;SAVEIRO;volkswagen
