CodigoDoProduto;CodigoDoProdutoI;Referencia;Codigo_barra;id;NomeProduto;Marca;Unidade;Localizacao;Preco1;PrecoCusto;CodigoDoFornecedor;EstoqueMinimo;EstoqueMaximo;Estoque;Complemento;NCM;CodigoDoGrupo
"127841	";;16303776943;;;LENTE DA LANTERNA TRASEIRA KOMBI CLIPPER-AMBAR;SOUZA CAR;UN;"	G2 R1 P3 LB - 27";30;0;;0;0;1;;87088000;
"127832	";;16303776708;;;LENTE DA LANTERNA TRASEIRA VW 1200/1500 -FUME;SOUZA CAR;UN;"	G2 R1 P3 LB - 24";30;0;;0;0;2;;87088000;
"127761	";;16303776577;;;LENTE DA LANTERNA TRASEIRA VW 1200/1300 -AMBAR;SOUZA CAR;UN;"	";20;0;;0;0;5;;87083090;
"125212	";;16303773416;;;GRANPO DA VARETA DO CAPO LINHA VW GOL/VOYAGE/SAVEIRO/PARATI;SOUZA CAR;UN;"	";30;0;;0;0;0;;87088000;
"124555	";;16303773272;;;EMBLEMA DA GRADE GOL/VOYAGE/PARATI/SANTANA/SAVEIRO;SOUZA CAR;UN;"	";25;6,99;;0;0;5;;87083090;
"123852	";;16303773115;;;KIT PEDAL DO ACELERADOR VW/BRASILIA C/PEDAL;SOUZA CAR;UN;"	";20;0;;0;0;2;;87083090;
"122864	";;16303772936;;;PEDAL DO ACELERADOR KOMBI CLIPPER;SOUZA CAR;UN;"	";10;0;;0;0;1;;87083090;
"122346	";;16303772609;;;GRANPO DA VARETA DO CAPO LINHA VW GOL/VOYAGE/SAVEIRO/POLO/GOLF/PARATI/FOX /SANTANA 79/08;SOUZA CAR;UN;"	";15;0;;0;0;1;;87083090;
"116768	";;16303772413;;;RETROVISOR EXTERNO LE KOMBI CLIPPER 76/97 SF;SOUZA CAR;UN;"	R3 P6 LA - 39";60;0;;0;0;0;;87083090;
"116759	";;16303772377;;;RETROVISOR EXTERNO LD KOMBI CLIPPER 76/97 SF;SOUZA CAR;UN;"	R3 P6 LA - 38";60;0;;0;0;0;;87083090;
"115645	";;16303772268;;;EMBLEMA DA GRADE LINHA 95/...VW;SOUZA CAR;UN;"	";25;7,93;;0;0;4;;40093100;
"100895	";;16303772080;;;EMBLEMA DA GRADE LINHA G3 VW;SOUZA CAR;UN;"	";30;16,38;;0;0;7;;40093100;
"230500	";;16303692839;;;KIT RETIFICA GOL AT 16V;SOUZA CAR;UN;"	";280;0;;0;0;1;;;
"224295	";;16303652069;;;KIT RETIFICA ONIX/PRISMA 1.0 13 ED;SOUZA CAR;UN;"	";220;0;;0;0;0;;;
"117470	";;16303554267;;;CAPA DO PEDAL DE FREIO EMBREAGEM GOL/VOYAGE/PARATI/SAVEIRO 84/..;SOUZA CAR;UN;"	";15;0;;0;0;2;;40093100;
"554179	";;16303551845;;;CAPA DO PEDAL DE FREIO EMBREAGEM ACELERADOR UNO/FIORINO/PREMIO/ELBA;SOUZA CAR;UN;"	";15;0;;0;0;1;;40093100;
"1002	";;16303544749;;;CALOTA CENTRO DA RODA ORBITAL VW ARO 14/15/17;SOUZA CAR;UN;"	";15;0;;0;0;0;;87089990;
"1029	";;16303542412;;;CALOTA CENTRO DA RODA CORSA WIND 94/...;SOUZA CAR;UN;"	";25;0;;0;0;2;;87083090;
